__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 17:29:08 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      2
Number of dimensions:     2
Interaction style:        Coulomb
Hamiltonian:              harmonic oscillator
Initial state:            random normal
Oscillator frequency:     1.000000


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Gaussian
Element 1:                Padé-Jastrow
Basis:                    no basis
Initial parameters:       constant
Number of parameters:     2
Number of hidden nodes:   2
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      100000
Number of burn-in cycles: 100
Learning rate:            0.100000
Step length:              0.100000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             ADAM
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
15  3.01713102  0.00084177  0.93037321  0.02011821  1.12092577  0.01510616  0.96583204  0.02147326  0.98876000  0.05262256
16  3.00881292  0.00082208  0.91239504  0.02054764  1.16338245  0.01568409  0.93303543  0.02194629  0.98877000  0.05293727
17  3.01174912  0.00083238  0.88901061  0.02121958  1.16692786  0.01628192  0.95581065  0.02265230  0.98830000  0.05259943
18  3.01101014  0.00082650  0.90541490  0.02246907  1.13239281  0.01684882  0.97320243  0.02392322  0.98906000  0.05291128
19  3.01465423  0.00083113  0.88413955  0.02321375  1.17034883  0.01738333  0.96016585  0.02471006  0.98797000  0.05308819
20  3.00933933  0.00081266  0.89281196  0.02372309  1.17231774  0.01791631  0.94420962  0.02527403  0.98887000  0.05263042
21  3.00658664  0.00081480  0.89504576  0.02411995  1.17748709  0.01844050  0.93405379  0.02571516  0.98890000  0.05250406
22  3.00828757  0.00081336  0.89484798  0.02450024  1.17159543  0.01895293  0.94184415  0.02613737  0.98864000  0.05249166
23  3.00992867  0.00082735  0.87596194  0.02520707  1.17203539  0.01945007  0.96193134  0.02687910  0.98922000  0.05285358
24  3.00812719  0.00081542  0.88611434  0.02586048  1.15450141  0.01992961  0.96751144  0.02758355  0.98882000  0.05261326
25  3.00347454  0.00079819  0.90459878  0.02621365  1.16069709  0.02038840  0.93817867  0.02798954  0.98930000  0.05241847
26  3.00683270  0.00081695  0.88932200  0.02703963  1.16567411  0.02084617  0.95183660  0.02882453  0.98877000  0.05218339
27  3.01044352  0.00081840  0.88195565  0.02796075  1.16237435  0.02129716  0.96611352  0.02976329  0.98940000  0.05274630
28  3.00878717  0.00081453  0.88256937  0.02836482  1.18660947  0.02173804  0.93960833  0.03021178  0.98869000  0.05195427
29  3.00209966  0.00080768  0.88515298  0.02888049  1.18251162  0.02217812  0.93443507  0.03075898  0.98874000  0.05253315
30  3.00858051  0.00080438  0.88200403  0.02919572  1.19023953  0.02261082  0.93633695  0.03111125  0.98882000  0.05263066
31  3.00850393  0.00080916  0.88139939  0.02967266  1.17531929  0.02303807  0.95178525  0.03162135  0.98872000  0.05294347
32  3.00858839  0.00080861  0.86745588  0.03028007  1.19227800  0.02345736  0.94885452  0.03225813  0.98901000  0.05278754
33  3.00987731  0.00081128  0.87710795  0.03057783  1.18733204  0.02386829  0.94543731  0.03260419  0.98896000  0.05317712
34  3.00232229  0.00080047  0.88794951  0.03087679  1.17840425  0.02427476  0.93596853  0.03294451  0.98914000  0.05215859
35  3.00916597  0.00081371  0.86319184  0.03159215  1.19544009  0.02466689  0.95053404  0.03367621  0.98864000  0.05292177
36  3.01006499  0.00081232  0.87766428  0.03186501  1.20072312  0.02506444  0.93167759  0.03399140  0.98934000  0.05217695
37  3.00360598  0.00079063  0.88489765  0.03253192  1.18861403  0.02545868  0.93009430  0.03466740  0.98899000  0.05242562
38  3.00863753  0.00079402  0.86567573  0.03287792  1.21591233  0.02584556  0.92704947  0.03503910  0.98924000  0.05275726
39  3.00815939  0.00079175  0.88719549  0.03314356  1.17854019  0.02623569  0.94242371  0.03534148  0.98901000  0.05312037
40  3.00628335  0.00079064  0.88511173  0.03344049  1.17956981  0.02660467  0.94160181  0.03567090  0.98915000  0.05285859
41  3.00752418  0.00080884  0.87808153  0.03375357  1.18850117  0.02696474  0.94094147  0.03601703  0.98856000  0.05217838
42  3.00442562  0.00080343  0.87264318  0.03493971  1.17708801  0.02732328  0.95469444  0.03718922  0.98844000  0.05259705
43  2.99710002  0.00078041  0.88218228  0.03526840  1.20157869  0.02767700  0.91333904  0.03754958  0.98858000  0.05237198
44  3.01361939  0.00079902  0.87244200  0.03557169  1.19330032  0.02803734  0.94787707  0.03787702  0.98945000  0.05239487
45  3.00664909  0.00080583  0.88074440  0.03593021  1.17080663  0.02838344  0.95509807  0.03827229  0.98834000  0.05272388
46  3.01067719  0.00078881  0.87304821  0.03646491  1.17980259  0.02871729  0.95782639  0.03883237  0.98879000  0.05267811
47  3.01335230  0.00080577  0.87367553  0.03676459  1.17685195  0.02905263  0.96282482  0.03917282  0.98842000  0.05142069
48  3.00489588  0.00076812  0.88890213  0.03713004  1.18455439  0.02938066  0.93143937  0.03956926  0.98944000  0.05199075
49  3.00595561  0.00078306  0.86675618  0.03818839  1.20151238  0.02971291  0.93768706  0.04060761  0.98805000  0.05177045
50  3.00598510  0.00078669  0.90219673  0.03842933  1.15868896  0.03004010  0.94509940  0.04088170  0.98878000  0.05166602
51  3.00830666  0.00078724  0.90167611  0.03867871  1.16066536  0.03035191  0.94596518  0.04115557  0.98869000  0.05177498
52  3.00971167  0.00077866  0.88761448  0.03893773  1.18142941  0.03066043  0.94066779  0.04144023  0.98883000  0.05215526
53  3.01172862  0.00077440  0.88513480  0.03915953  1.19859597  0.03097694  0.92799785  0.04168716  0.98895000  0.05263925
54  3.00834845  0.00078000  0.89985786  0.03946294  1.15606318  0.03128963  0.95242740  0.04201427  0.98892000  0.05220437
55  3.00960838  0.00077828  0.88806158  0.03972641  1.16791826  0.03158782  0.95362855  0.04230645  0.98842000  0.05209637
56  2.99774680  0.00075975  0.91615225  0.04000362  1.15103424  0.03188148  0.93056031  0.04261077  0.98897000  0.05174303
57  3.01403744  0.00078379  0.89455801  0.04030446  1.15580703  0.03217069  0.96367241  0.04292833  0.98913000  0.05147505
58  3.00659596  0.00077456  0.88110720  0.04061938  1.19064695  0.03246149  0.93484180  0.04326774  0.98809000  0.05182004
59  3.01239894  0.00077098  0.88624116  0.04085656  1.17727765  0.03275994  0.94888012  0.04353269  0.98850000  0.05249405
60  3.00671933  0.00076651  0.90773061  0.04113748  1.15771051  0.03304706  0.94127821  0.04383882  0.98849000  0.05187011
61  3.00813689  0.00077461  0.88485855  0.04318438  1.14960562  0.03332582  0.97367272  0.04580923  0.98946000  0.05239749
62  3.01052416  0.00077417  0.89101306  0.04342038  1.17412867  0.03360325  0.94538243  0.04607744  0.98875000  0.05220962
63  3.00750481  0.00076136  0.88471944  0.04365908  1.19119811  0.03388834  0.93158726  0.04633901  0.98836000  0.05174470
64  3.01065090  0.00077634  0.86285680  0.05617722  1.14859730  0.03417343  0.99919680  0.05832629  0.98835000  0.05206108
65  3.00544833  0.00075325  0.91165339  0.05633238  1.16047306  0.03444243  0.93332188  0.05851688  0.98877000  0.05203485
66  3.01322444  0.00075892  0.89787623  0.05654521  1.16762924  0.03471198  0.94771897  0.05874632  0.98846000  0.05174923
67  3.00679134  0.00076216  0.89400695  0.05675383  1.17042787  0.03498164  0.94235651  0.05897808  0.98796000  0.05215859
68  3.00575043  0.00075009  0.87748694  0.05699224  1.18797263  0.03525457  0.94029086  0.05923908  0.98863000  0.05217838
69  3.00966493  0.00076065  0.88047397  0.05716988  1.20166768  0.03553234  0.92752329  0.05943811  0.98818000  0.05240631
70  3.01163731  0.00076354  0.90209835  0.05750925  1.15187269  0.03580672  0.95766628  0.05979412  0.98862000  0.05127788
71  3.01131966  0.00076493  0.88209466  0.05767241  1.19574832  0.03606657  0.93347667  0.05997898  0.98823000  0.05206037
72  3.01537518  0.00075926  0.89925688  0.05786690  1.15744483  0.03633299  0.95867348  0.06019619  0.98859000  0.05185986
73  3.00877292  0.00074777  0.91746970  0.05803287  1.14163727  0.03658762  0.94966594  0.06038451  0.98866000  0.05200410
74  3.01405291  0.00075570  0.89639060  0.05819598  1.17502905  0.03684000  0.94263327  0.06056419  0.98867000  0.05208135
75  3.00951698  0.00075456  0.87991218  0.05870387  1.17924547  0.03710013  0.95035934  0.06108232  0.98845000  0.05197287
76  3.01396648  0.00076418  0.86763958  0.05893113  1.19560539  0.03736289  0.95072152  0.06133268  0.98812000  0.05177140
77  3.01149712  0.00075279  0.88750790  0.05910501  1.17818056  0.03762620  0.94580866  0.06153197  0.98805000  0.05212855
78  3.01030370  0.00074412  0.88936821  0.05931217  1.16667007  0.03787903  0.95426541  0.06176211  0.98850000  0.05161071
79  3.00825200  0.00073203  0.90046708  0.05983692  1.14785115  0.03812395  0.95993377  0.06230082  0.98822000  0.05179715
80  3.00805583  0.00074899  0.90121658  0.06005714  1.16123632  0.03836368  0.94560292  0.06254037  0.98826000  0.05200148
81  3.01580275  0.00076304  0.87261899  0.06024887  1.18131720  0.03861205  0.96186656  0.06275283  0.98847000  0.05141878
82  3.00757167  0.00075144  0.89784081  0.06101859  1.14991542  0.03885586  0.95981544  0.06352905  0.98805000  0.05144095
83  3.01000785  0.00073136  0.90974718  0.06120216  1.14919153  0.03909152  0.95106914  0.06373463  0.98810000  0.05141377
84  3.00847511  0.00073892  0.91130905  0.06137691  1.15529247  0.03932600  0.94187360  0.06392638  0.98809000  0.05212331
85  3.00920180  0.00073339  0.91309383  0.06156894  1.14823380  0.03955873  0.94787416  0.06413409  0.98820000  0.05175400
86  3.00453491  0.00071775  0.92065898  0.06172158  1.15610562  0.03978575  0.92777031  0.06430286  0.98816000  0.05169582
87  3.00756373  0.00072927  0.92000756  0.06197849  1.13443960  0.04001478  0.95311656  0.06457075  0.98788000  0.05200148
88  3.00451013  0.00071351  0.93530418  0.06215049  1.12979168  0.04023562  0.93941427  0.06475827  0.98863000  0.05165625
89  3.01330244  0.00073695  0.91688095  0.06237517  1.14879809  0.04045776  0.94762340  0.06499094  0.98820000  0.05150867
90  3.01189622  0.00073164  0.89776828  0.06262465  1.15748761  0.04068324  0.95664034  0.06525552  0.98837000  0.05189180
91  3.01277318  0.00074093  0.89828613  0.06315532  1.14354270  0.04090914  0.97094435  0.06579454  0.98812000  0.05171275
92  3.00533089  0.00071528  0.90929733  0.06336256  1.16186880  0.04113467  0.93416477  0.06602045  0.98762000  0.05234075
93  3.00893468  0.00072614  0.91471672  0.06352634  1.14379493  0.04135811  0.95042303  0.06620054  0.98823000  0.05200911
94  3.01347088  0.00072435  0.91197348  0.06369843  1.15230506  0.04157850  0.94919233  0.06638821  0.98800000  0.05197096
95  3.01146011  0.00072296  0.89393202  0.06391191  1.16576643  0.04180278  0.95176165  0.06661702  0.98808000  0.05166006
96  3.01022442  0.00072004  0.89731524  0.06437922  1.15546335  0.04202598  0.95744583  0.06709349  0.98859000  0.05212665
97  3.01184435  0.00072459  0.90830265  0.06460555  1.14374079  0.04224643  0.95980090  0.06733814  0.98774000  0.05135608
98  3.00862762  0.00071279  0.92223265  0.06651660  1.10608394  0.04245770  0.98031102  0.06920315  0.98885000  0.05193520
99  3.00900946  0.00071829  0.91378892  0.06669455  1.14487141  0.04266069  0.95034914  0.06940019  0.98797000  0.05117249

               Final results
==============================================
 Total energy            : 3.0036983419 (with STD = 0.0006999818)
 Kinetic energy          : 0.9316118942 (with STD = 0.0669024327)
 External energy         : 1.1193564500 (with STD = 0.0428703844)
 Interaction energy      : 0.9527299977 (with STD = 0.0696237169)
 Acceptence Ratio        : 0.9886400000

Finished computation at Thu Jan  7 17:29:14 2021
Elapsed time: 5.2461498840s

Average CPU time before convergence: 0.0523849364
