__      ____  __          _____ _    _ _____ _   _ ______ 
\ \    / /  \/  |   /\   / ____| |  | |_   _| \ | |  ____|
 \ \  / /| \  / |  /  \ | |    | |__| | | | |  \| | |__   
  \ \/ / | |\/| | / /\ \| |    |  __  | | | | . ` |  __|  
   \  /  | |  | |/ ____ \ |____| |  | |_| |_| |\  | |____ 
    \/   |_|  |_/_/    \_\_____|_|  |_|_____|_| \_|______|
==========================================================

Started computation at Thu Jan  7 17:22:54 2021
Running on 1 CPU threads using Open MPI
Simulation is run from the directory: 


             SYSTEM INFORMATION
==============================================
Number of particles:      2
Number of dimensions:     2
Interaction style:        no interaction
Hamiltonian:              harmonic oscillator
Initial state:            random normal
Oscillator frequency:     1.000000


           WAVE FUNCTION INFORMATION
==============================================
Element 0:                Gaussian
Basis:                    no basis
Initial parameters:       constant
Number of parameters:     1
Number of hidden nodes:   2
Print parameters to file: false


            SIMULATION INFORMATION
==============================================
Max number of iterations: 100
Number of MC cycles:      1000
Number of burn-in cycles: 1
Learning rate:            0.500000
Step length:              0.100000
Equilibration fraction:   0.001000
Sampling:                 Metropolis-Hastings
Optimization:             gradient descent
Random number generator:  Mersenne-Twister


               PARTICLE DENSITY
==============================================
Compute radial one-body density:  false
Compute spatial one-body density: false
Compute radial two-body density:  false
Max radius of electron density:   5.000000
Number of bins in each direction: 1000


                  RESAMPLING
==============================================
Do resampling:            false
Print energies to file:   false


                  CONVERGENCE
==============================================
Check convergence:        false
Tolerance:                0.000000
Number of energies:       5


                 ADAPTIVE STEPS
==============================================
Apply adaptive steps:       false
Range of adaptive steps:    10
Additional steps:           4
Additional steps last iter: 8


Step  Energy  Energy_STD  Kinetic  Kinetic_STD  External  External_STD  Interaction  Interaction_STD  Acceptence  CPU_time
15  2.00000000  0.00000000  1.22514367  0.14997981  0.77485633  0.12468647  0.00000000  0.00000000  0.99200000  0.00106192
16  2.00000000  0.00000000  1.23510803  0.15547414  0.76489197  0.12776699  0.00000000  0.00000000  0.98700000  0.00112343
17  2.00000000  0.00000000  1.10367447  0.16131125  0.89632553  0.13127485  0.00000000  0.00000000  0.98200000  0.00109816
18  2.00000000  0.00000000  1.28835621  0.16565918  0.71164379  0.13505567  0.00000000  0.00000000  0.99000000  0.00112629
19  2.00000000  0.00000000  1.15677526  0.17139508  0.84322474  0.13791271  0.00000000  0.00000000  0.98600000  0.00109482
20  2.00000000  0.00000000  1.15544758  0.17630700  0.84455242  0.14177694  0.00000000  0.00000000  0.98900000  0.00109363
21  2.00000000  0.00000000  1.25844067  0.18058315  0.74155933  0.14493111  0.00000000  0.00000000  0.99000000  0.00110579
22  2.00000000  0.00000000  1.14385027  0.18573073  0.85614973  0.14784076  0.00000000  0.00000000  0.98600000  0.00112629
23  2.00000000  0.00000000  0.96820712  0.19043567  1.03179288  0.15182666  0.00000000  0.00000000  0.98700000  0.00113916
24  2.00000000  0.00000000  1.22667298  0.19342290  0.77332702  0.15596531  0.00000000  0.00000000  0.99100000  0.00086999
25  2.00000000  0.00000000  1.18920743  0.19786391  0.81079257  0.15860705  0.00000000  0.00000000  0.99100000  0.00074840
26  2.00000000  0.00000000  1.13469983  0.20202109  0.86530017  0.16143654  0.00000000  0.00000000  0.98100000  0.00074172
27  2.00000000  0.00000000  1.02077342  0.20621533  0.97922658  0.16503090  0.00000000  0.00000000  0.98200000  0.00074387
28  2.00000000  0.00000000  1.07664734  0.20994941  0.92335266  0.16942874  0.00000000  0.00000000  0.99100000  0.00073957
29  2.00000000  0.00000000  1.28960136  0.21322646  0.71039864  0.17258702  0.00000000  0.00000000  0.99000000  0.00073934
30  2.00000000  0.00000000  1.22512412  0.21781657  0.77487588  0.17494687  0.00000000  0.00000000  0.98900000  0.00074959
31  2.00000000  0.00000000  1.17008526  0.22171974  0.82991474  0.17726109  0.00000000  0.00000000  0.98300000  0.00074172
32  2.00000000  0.00000000  1.12003329  0.22541705  0.87996671  0.17998432  0.00000000  0.00000000  0.98800000  0.00072455
33  2.00000000  0.00000000  0.93942932  0.22900318  1.06057068  0.18314976  0.00000000  0.00000000  0.97600000  0.00071120
34  2.00000000  0.00000000  1.06299074  0.23153558  0.93700926  0.18695558  0.00000000  0.00000000  0.98200000  0.00072408
35  2.00000000  0.00000000  1.03867278  0.23457780  0.96132722  0.19004853  0.00000000  0.00000000  0.98300000  0.00071883
36  2.00000000  0.00000000  1.20629296  0.23751679  0.79370704  0.19326467  0.00000000  0.00000000  0.98800000  0.00115657
37  2.00000000  0.00000000  1.07438289  0.24122949  0.92561711  0.19571280  0.00000000  0.00000000  0.98200000  0.00109720
38  2.00000000  0.00000000  1.15190468  0.24433995  0.84809532  0.19878711  0.00000000  0.00000000  0.98600000  0.00110102
39  2.00000000  0.00000000  1.37496043  0.24734358  0.62503957  0.20096152  0.00000000  0.00000000  0.98900000  0.00110984
40  2.00000000  0.00000000  0.89916472  0.25215675  1.10083528  0.20319909  0.00000000  0.00000000  0.98600000  0.00109291
41  2.00000000  0.00000000  1.30642400  0.25422349  0.69357600  0.20673599  0.00000000  0.00000000  0.99100000  0.00109649
42  2.00000000  0.00000000  1.14488656  0.25803181  0.85511344  0.20848239  0.00000000  0.00000000  0.99600000  0.00110221
43  2.00000000  0.00000000  1.18720653  0.26109544  0.81279347  0.21089279  0.00000000  0.00000000  0.98500000  0.00109124
44  2.00000000  0.00000000  1.19932857  0.26432086  0.80067143  0.21312352  0.00000000  0.00000000  0.98300000  0.00109911
45  2.00000000  0.00000000  1.16778546  0.26758607  0.83221454  0.21531629  0.00000000  0.00000000  0.98800000  0.00082421
46  2.00000000  0.00000000  0.99629079  0.27092694  1.00370921  0.21791987  0.00000000  0.00000000  0.98500000  0.00071955
47  2.00000000  0.00000000  1.14875851  0.27323281  0.85124149  0.22081364  0.00000000  0.00000000  0.98600000  0.00071383
48  2.00000000  0.00000000  1.28140805  0.27619518  0.71859195  0.22313951  0.00000000  0.00000000  0.99100000  0.00071406
49  2.00000000  0.00000000  1.05327174  0.27971970  0.94672826  0.22499987  0.00000000  0.00000000  0.98800000  0.00071073
50  2.00000000  0.00000000  1.17947081  0.28229512  0.82052919  0.22772633  0.00000000  0.00000000  0.98800000  0.00070739
51  2.00000000  0.00000000  1.07297650  0.28544344  0.92702350  0.23006264  0.00000000  0.00000000  0.98900000  0.00071979
52  2.00000000  0.00000000  1.31247507  0.28773918  0.68752493  0.23227740  0.00000000  0.00000000  0.98900000  0.00071549
53  2.00000000  0.00000000  1.17111967  0.29119253  0.82888033  0.23388489  0.00000000  0.00000000  0.98500000  0.00073528
